keyword,timestamp,pos1,pos2,neg1,neg2,new1,new2
ambulance,2019-07-23 18:48:19.844286,"['ambulances', 'medics', 'hospital', 'emergency', 'nurses']","['ospital', 'nars', 'tulong', 'pammaregta']",[],['pagbakuitan'],[],[]
flu,2019-07-23 18:48:58.313776,"['influenza', 'measles', 'dengue', 'epidemic', 'zika']","['sakit', 'agas', 'malaria']",[],"['kanser', 'karabukob']",[],[]
dengue,2019-07-23 18:49:21.048257,"['malaria', 'infection', 'measles', 'influenza', 'zika']","['sakit', 'dengue', 'virus', 'flu', 'influenza']",[],[],[],[]
bacteria,2019-07-23 18:49:40.941305,"['viruses', 'salmonella', 'antibiotics', 'infections']","['organismo', 'mikrobio', 'bakteria']",['organism'],"['selula', 'protina']",[],[]
coughing,2019-07-23 18:50:02.871395,['cough'],"['saksakitenna', 'gugot', 'sakit']","['vomiting', 'swallowing', 'diarrhea', 'vomit']","['mabibineg', 'sugat']",[],[]
hospitals,2019-07-23 18:50:18.228706,"['clinics', 'hospital', 'healthcare', 'medical', 'nursing']","['nursing', 'nars']",[],"['pinansial', 'agtrabtrabaho', 'pasilidad']",[],[]
contagious,2019-07-23 18:50:40.456868,"['infectious', 'dengue', 'diseases']","['sakit', 'maagasan', 'sakitda']","['tetanus', 'infection']","['grabe', 'ladingit']",[],[]
symptoms,2019-07-23 18:51:14.630617,['symptom'],['sakit'],"['vomiting', 'rhinitis', 'diarrhea', 'dysfunction']","['diabetes', 'tetano', 'sintoma', 'pasiente']",[],[]
wounded,2019-07-23 18:51:35.927517,"['killed', 'casualties', 'wounds', 'injured', 'soldiers']","['nasugatan', 'tattaona', 'pinapatay', 'nakalasat']",[],['nagurgura'],[],[]
breathing,2019-07-23 18:52:16.354644,"['swallowing', 'breathe', 'coughing']","['panaganges', 'aganges', 'panagsakit', 'saksakitenna']","['vomiting', 'dizziness']",['artipisyal'],[],[]
fluids,2019-07-23 18:52:47.301746,"['dehydration', 'chemicals', 'contamination']","['danum', 'dioxide']","['clotting', 'chlorine']","['buteg', 'arthritis', 'tultulangko']",[],[]
casualties,2019-07-23 18:53:07.108615,"['wounded', 'fatalities', 'shelling', 'civilians', 'troops']","['nakalasat', 'buyotna', 'soldado', 'gubat']",[],['nagsagaba'],[],[]
injuries,2019-07-23 18:53:22.248803,"['injury', 'injured', 'suffered', 'suffering', 'hospitalized']","['aksidente', 'nakaro']",[],"['tumor', 'nakatayanna', 'chemotherapy']",[],[]
ill,2019-07-23 18:53:43.774095,"['bedridden', 'sick', 'illness', 'gravely', 'ailment']","['maagasan', 'nasaktan', 'makipagsangit', 'nasakit']",[],['mailiwliwagda'],[],[]
victims,2019-07-23 18:54:15.797188,"['civilians', 'survivors', 'crimes', 'deaths', 'policemen']","['inosente', 'agkakapuli', 'panangikisap', 'kalamidad', 'biktima']",[],['aksidente'],[],['biktima']
vaccine,2019-07-23 18:55:18.194896,"['vaccines', 'vaccination', 'vaccinations']","['bakuna', 'agas', 'sakit']","['pertussis', 'tetanus']","['agtakki', 'dengue']",[],[]
glaucoma,2019-07-23 18:55:40.652763,"['ocular', 'hypertension', 'thyroid', 'diabetes', 'diagnosis']","['diabetes', 'sakit', 'anemia', 'pasiente', 'doktor']",[],[],[],[]
over,2019-07-23 18:56:10.810942,"['nearly', 'around', 'hundred', 'thousand', 'half']","['duapulo', 'kinautibona', 'walo', 'nalpas']",[],"['tengga', 'agingga']",[],['nalpas']
rhinitis,2019-07-23 18:56:35.536167,"['diarrhea', 'allergies', 'symptoms', 'allergic', 'cough']","['sakit', 'sintoma', 'gugot']",[],"['panagtakki', 'kolera']",[],[]
outbreak,2019-07-23 18:57:08.630670,"['epidemic', 'cholera', 'epidemics', 'war', 'typhoid']","['dimmalapus', 'gubat', 'sakit']",[],"['pannakaidadanes', 'bisin']",[],[]
clot,2019-07-23 18:57:26.474080,"['clotting', 'hemorrhage', 'hypertension', 'spinal', 'liver']","['lumteg', 'pasiente', 'spinal', 'ipakonsulta']",[],['dalem'],[],[]
coverage,2019-07-23 18:57:46.327709,"['sources', 'news', 'subject', 'significant', 'mention']","['nalalawa', 'nakaayaban', 'patpatientayo', 'nayonna']",[],['buenos'],[],[]
drain,2019-07-23 18:58:03.462492,"['pumping', 'flood', 'water', 'tunnel']","['danum', 'rugit', 'karayan', 'imburnal']",['mouth'],['maibelleng'],[],[]
fucking,2019-07-23 18:58:38.166428,"['ass', 'joke', 'guys', 'thing', 'everybody']",['makapainsulto'],[],"['mapukawkamin', 'ikalinteganda', 'agsangitak', 'agpudpudot']",[],[]
caused,2019-07-23 18:58:59.283348,"['causing', 'affected', 'cause', 'resulting', 'causes']","['nakaro', 'dinadael', 'maliklikan', 'napasaran', 'kakaro']",[],[],[],[]
given,2019-07-23 18:59:19.305732,"['giving', 'assumed', 'indicates', 'receive', 'presented']","['dinakamat', 'imbaga', 'sinurot', 'naited']",[],['nangipaay'],[],[]
attacked,2019-07-23 18:59:39.061685,"['assaulted', 'killed', 'escaped', 'attack', 'harassed']","['kinemmegda', 'pinapatayda', 'dimmarupda']",[],"['kinabil', 'rinaut']",[],[]
wide,2019-07-23 19:00:00.100491,"['range', 'extending', 'across', 'large', 'varying']",[],[],"['disk', 'pulgada', 'natirad', 'bondpaper', 'pagipatayan']",[],[]
blood,2019-07-23 19:00:24.104259,"['clotting', 'stomach', 'liver', 'clot', 'swallowing']","['dara', 'manganto', 'lumteg', 'natay']",[],"['ulser', 'naparagsit']",[],['natay']
happen,2019-07-23 19:00:49.446887,"['happens', 'know', 'happened', 'say', 'something']","['mapasamak', 'ibaga', 'panagpungtotmo', 'malasatanyo', 'sagabaen', 'nalpas']",[],[],[],['nalpas']
throat,2019-07-23 19:01:11.506020,"['belly', 'chest', 'stomach', 'coughing', 'nose']","['buteg', 'gurigor', 'susuop', 'sugat']",[],['mabibineg'],[],[]
tube,2019-07-23 19:01:37.948181,"['pumping', 'beam', 'thin', 'barrel']","['temperature', 'panangitalmeg']",['nipple'],"['room', 'matris', 'ipaburek']",[],[]
reduce,2019-07-23 19:02:03.603401,"['reducing', 'increase', 'reduction', 'decrease', 'increases']","['maliklikan', 'mangapektar', 'ipangato', 'gastos', 'bawas']",[],['batayan'],[],['bawas']
tuberculosis,2019-07-23 19:02:19.970959,"['typhoid', 'cholera', 'influenza', 'diphtheria', 'polio']","['sakit', 'maagasan', 'doktor', 'nars', 'agas']",[],[],[],[]
lives,2019-07-23 19:02:46.903895,"['life', 'lived', 'living', 'childhood', 'dying']","['natagiragsak', 'trahedia', 'agtaltalinaedda', 'natay', 'biag']",[],"['pagungaren', 'napadasan']",[],"['natay', 'biag']"
innocent,2019-07-23 19:03:08.316028,"['guilty', 'cruel', 'murder', 'premeditated', 'condemn']","['nakabasol', 'manangidumduma', 'nakaaramid', 'mapabasol', 'mapakawan']",[],[],[],[]
plague,2019-07-23 19:03:34.413719,"['epidemic', 'epidemics', 'cholera', 'typhoid', 'famine']","['bisin', 'nakaro', 'kinadakes', 'agwaras']",[],"['iyaatake', 'pinaimbag']",[],['agwaras']
both,2019-07-23 19:03:57.672925,"['other', 'two', 'additionally', 'these', 'many']","['ken', 'dadduma', 'dua', 'uppat', 'amin']",[],['nangipuesto'],[],['amin']
came,2019-07-23 19:04:33.621351,"['brought', 'went', 'took', 'coming']","['nagsubli', 'idi', 'kinuna', 'inayabanna', 'kalpasan']",['turned'],[],[],[]
typhoid,2019-07-23 19:05:41.955818,"['cholera', 'tuberculosis', 'diphtheria', 'measles', 'epidemic']","['sakit', 'nakaro', 'bisin', 'tuko', 'cancer']",[],[],[],[]
clotting,2019-07-23 19:06:04.673804,"['thyroid', 'hypertension', 'liver', 'hormone', 'antibiotics']","['selula', 'utek', 'blood']",[],"['dalem', 'lactose']",[],[]
taken,2019-07-23 19:06:39.552544,"['taking', 'put', 'took', 'take', 'claimed']","['napanda', 'kinemmegda', 'nailugan', 'inyaspingna', 'impanda']",[],[],[],[]
heavily,2019-07-23 19:07:22.687914,"['largely', 'mostly', 'partly', 'while', 'highly']","['dimmakkel', 'inikkatko', 'dagsen']",[],"['pagparangen', 'isu', 'matartarimaan']",[],['dagsen']
worst,2019-07-23 19:07:44.514992,"['horrible', 'worse', 'terrible', 'disaster', 'biggest']","['nakarkaro', 'didigra', 'dimmalapus', 'epekto', 'kakaruan', 'bagyo']",[],[],[],['bagyo']
killed,2019-07-23 19:08:05.607599,"['wounded', 'killing', 'kidnapped', 'injuring', 'escaped']","['napapatay', 'pinapatay', 'natay', 'nakalasat', 'inispal']",[],[],[],[]
ebola,2019-07-23 19:08:18.880587,"['dengue', 'zika', 'hiv/aids', 'hiv', 'malaria']","['sakit', 'dengue', 'agas', 'flu', 'bakuna']",[],[],[],[]
terrorist,2019-07-23 19:08:37.342929,"['terrorists', 'jihadist', 'terror', 'militants', 'taliban']","['naglalaban', 'krimen', 'naranggas', 'dyurnalista']",[],['gang'],[],[]
deaths,2019-07-23 19:09:00.579022,"['fatalities', 'incidents', 'victims', 'fatal', 'killed']","['aksidente', 'matmatay', 'nakatayan', 'mapasaran', 'nakaro']",[],[],[],[]
somalia,2019-07-23 19:09:28.182274,"['eritrea', 'djibouti', 'yemen', 'mogadishu', 'ethiopia']","['kasasaad', 'pagilian', 'globalisasyon', 'rutinayo', 'entero']",[],[],[],[]
prevent,2019-07-23 19:10:02.072425,"['avoid', 'protect', 'reduce', 'causing', 'cause']","['mangpakapuy', 'madangrantayo', 'manglapped', 'sardengan']",[],"['mailinteg', 'kinamanagsakripisiotayo']",[],['sardengan']
